Country,Continent,Region,yr_1990,yr_1980,yr_1970,yr_1960
Trinidad & Tobago,North America,Latin America,"115,710","65,907","20,673",0
West Indies n.e.c.,North America,Latin America,"18,509",0,"57,557","73,314"
Other,North America,Latin America,"8,326","54,352",0,0
Mexico,North America,Central America,"4,298,014","2,199,221","759,711","575,902"
Belize,North America,Central America,"29,957","14,436","8,860","2,780"
Costa Rica,North America,Central America,"43,530","29,639","16,691","5,425"
El Salvador,North America,Central America,"465,433","94,447","15,717","6,310"
Guatemala,North America,Central America,"225,739","63,073","17,356","5,381"
Honduras,North America,Central America,"108,923","39,154","19,118","6,503"
Nicaragua,North America,Central America,"168,659","44,166","16,125","9,474"
Panama,North America,Central America,"85,737","60,740","20,046","13,076"
Central America n.e.c.,North America,Central America,"6,000","8,237",0,0
Argentina,South America,,"92,563","68,887","44,803","16,579"
Bolivia,South America,,"31,303","14,468","6,872","2,168"
Brazil,South America,,"82,489","40,919","27,069","13,988"
Chile,South America,,"55,681","35,127","15,393","6,259"
Colombia,South America,,"286,124","143,508","63,538","12,582"
Ecuador,South America,,"143,314","86,128","36,663","7,670"
Guyana,South America,,"120,698","48,608",0,0
Paraguay,South America,,"6,057","2,858",0,595
Peru,South America,,"144,199","55,496","21,663","7,102"
Suriname,South America,,"2,860","1,433",0,0
Uruguay,South America,,"20,766","13,278","5,092","1,170"
Venezuela,South America,,"42,119","33,281","11,348","6,851"
South America n.e.c.,South America,,"9,324","17,020","22,797","14,572"
Canada,North America,Northern America,"744,830","842,859","812,421","952,500"
Bermuda,North America,Northern America,"7,972","8,844",0,0
Northern America n.e.c.,North America,Northern America,"1,115","1,724",0,0
total,,,"21,638,072","16,024,822","12,214,322","13,251,959"
